gene,bootstrap_ratio
LINC00482,-3.69234917494
NUP35,-3.69322769352
C1orf74,-3.69337431066
WDR55,-3.6938358425
SHD,-3.69410881071
ATP11A,-3.69490372211
OR2L8,-3.69519078552
PELI3,-3.69680541577
ABCB10,-3.6969778231
BARD1,-3.69807286416
FAM78B,-3.69866741125
IP6K1,-3.70103589721
ANK1,-3.70131501553
TTC21B,-3.70178448005
GRIN1,-3.70252649339
PLIN4,-3.70365517547
ZNF566,-3.7042521417
LOC283788,-3.70516136716
HOXD9,-3.70835851421
GTF2A1,-3.709305586
GLS2,-3.70934548181
SCG5,-3.70956415336
VPS13A,-3.71590358326
ZNF821,-3.71615562811
KCNJ6,-3.7171371498
WHRN,-3.72322681595
SGF29,-3.72422515789
ARHGAP9,-3.72742583356
GNL2,-3.72824654189
ZKSCAN8,-3.72907038813
GNPNAT1,-3.73070500955
SIKE1,-3.73951852973
LIN52,-3.74418019818
LINC01011,-3.74535468616
CLASP2,-3.74544602382
EPB41,-3.74862489508
ZC3HC1,-3.74902610598
FOCAD,-3.75468162429
CTSK,-3.75968495981
RASSF4,-3.76186208707
AKAIN1,-3.76340846611
SNW1,-3.76738669486
PSMD7,-3.76750585333
PAX8,-3.76969637736
SIRT4,-3.7698332197
LGI3,-3.7708661651
MTERF3,-3.77288260236
HECW2,-3.77618210356
XPO4,-3.77627323257
CCDC51,-3.77714882172
RIMS2,-3.77716783919
TMEM160,-3.77767466648
ZFYVE19,-3.7815181304
BRCA1,-3.78971010912
KLF13,-3.79000783556
IGFBP2,-3.79276707161
MBTPS2,-3.79583478147
PIM1,-3.79603504062
RABL2A,-3.79737963302
FBXO45,-3.79855690425
C16orf86,-3.8001622292
PRSS56,-3.80104572506
PRC1,-3.80106975816
MRPS17,-3.80211581051
LRRC38,-3.8026614456
SPAG5,-3.80327883727
TOP1,-3.80374541299
PPARGC1A,-3.81380050373
MFF,-3.81384992147
EGFR-AS1,-3.81564813746
OR2L3,-3.819577714
COL5A1,-3.81988440145
SNHG14,-3.823366217
INO80E,-3.82471526937
RRP15,-3.82481192667
NUP93,-3.82519016441
PPP2R5D,-3.82575019959
PPIP5K2,-3.83139027251
FAM49B,-3.83404875295
ATG13,-3.83610156738
EZH2,-3.83826458399
ZNF441,-3.84034168567
TSPAN5,-3.84050688933
ARHGAP29,-3.84095994779
GABRG2,-3.84161563127
ATG4D,-3.84207621834
LOC400682,-3.84307942285
FBXO33,-3.84616327743
SLITRK3,-3.84647062434
RRP1,-3.84832845457
EMC9,-3.84898588012
CNTNAP5,-3.85348424367
PPM1A,-3.85624976204
MCRS1,-3.85692775645
CTNNAL1,-3.85916090575
PTPN4,-3.86240285655
LOC100129917,-3.86285782314
FAR2,-3.86344175684
SNAP25,-3.86391622183
FOXI3,-3.86449400549
ZBTB1,-3.86647756947
ACKR1,-3.86876620174
CLCN2,-3.87089869542
ZYX,-3.87245415851
ATAD2,-3.87510770348
CHD9,-3.87669752608
FAM131B,-3.87820996889
BECN1,-3.87865169263
ZNF37A,-3.87995823194
TFAM,-3.87997301561
ZNF687,-3.88047474573
PEX1,-3.88541677279
NCKIPSD,-3.88711643943
NFX1,-3.89381150976
CORO6,-3.89570991455
EFCAB7,-3.897973357
CCDC186,-3.89968720292
OR2L13,-3.90361028734
STX18-AS1,-3.90495111683
DEK,-3.90517667601
MSL2,-3.9053380342
PPP3CA,-3.90786361588
HSPA1L,-3.90859347301
TMEM145,-3.9098744804
KCNJ3,-3.91208172336
IL1RAPL1,-3.91496927663
ZNF446,-3.91547182864
SRPK1,-3.91869602704
ZNF442,-3.91937414049
GPX1,-3.91982963776
PHF19,-3.92006591998
PSMD6,-3.92087637475
SEPT8,-3.92100288499
MRS2,-3.92449871813
HIST1H1D,-3.92637665501
CISD2,-3.93171513795
SS18L2,-3.93388821018
TRMT61B,-3.93778515546
NAPSB,-3.93938555207
ZFY,-3.94197202521
PHAX,-3.94327890154
CUL4B,-3.94637608579
CCL27,-3.95102593601
SV2C,-3.95436621191
ZNF33A,-3.95467183295
ZNF879,-3.95674460959
MRPL16,-3.95754046869
GABPB1-IT1,-3.95955170347
CHCHD10,-3.95990871726
FOXP4,-3.96412593368
BCL11A,-3.96577045428
TRMU,-3.96663836373
MYADML2,-3.96739858408
PPP2R2C,-3.96773978396
BRWD3,-3.96834720577
PDIK1L,-3.97244654973
VSIG10,-3.97266545877
ATP2B2,-3.97285102052
VSNL1,-3.97469215029
MIS18BP1,-3.97877581809
GPAT3,-3.98073192905
