gene,bootstrap_ratio
NR4A3,6.06080874728
SUGT1,6.05536964198
SQOR,6.04784233741
SLC35F2,6.04015384483
RAB36,6.03644212562
EMP1,6.0344999081
ACTG1,6.031647974
PSORS1C1,6.03068511766
VPS37C,6.02793844493
LIN7B,6.02650763486
PCBD1,6.02427152412
PLTP,6.0236955077
MRAS,6.01644692071
GPT2,6.0142978615
EFEMP1,6.00687323512
SCGN,6.0054471257
RGS20,5.99847012712
RBP4,5.9926463863
GPR153,5.99228077884
TMEM74,5.99141902422
ADRA2C,5.98307901238
NADK2,5.98069981603
SEPT9,5.97643372588
NDUFA10,5.9727650725
PITPNC1,5.9663451911
MAPK3,5.96413214448
HEPH,5.96234873997
ZFAND3,5.96063887981
BAG3,5.95864962548
SUSD4,5.95855411433
C12orf76,5.95523630343
GLP2R,5.94782203848
PADI2,5.94315517208
DKFZp779M0652,5.9412421484
RAB3C,5.93954882696
CCDC85C,5.93558638671
DOK1,5.93498519502
NWD1,5.93358195109
HSPB8,5.92868740366
SCD5,5.92518990459
PLEKHA7,5.92175384497
MT1A,5.92058452874
C2CD4C,5.91296682043
TMEM200A,5.89076218672
CCDC153,5.89040718235
ADAMTS9,5.88191347844
FAM117A,5.87413309244
PSPH,5.87204817548
BBS4,5.87129790172
HSPA13,5.86564619515
PPP1R18,5.86326829993
APTR,5.86267071963
HGH1,5.8624047083
WDR1,5.86180934321
MARK4,5.86006256825
ALDH7A1,5.85977900449
SLC25A22,5.85928274474
KIF21B,5.85860560234
FBLN1,5.85074492855
MGAT4C,5.85059327166
THRA,5.83879571794
B4GALT2,5.83290510565
MT1F,5.83179877043
KXD1,5.83019613598
HSD17B12,5.82838124928
SMOX,5.82651238648
GNAI2,5.82147165232
EPHX2,5.82068143009
BAIAP3,5.81922731473
PSMB9,5.81500379792
TRIP6,5.8128846668
RHOJ,5.81118046224
PNPLA4,5.80869211003
DNAL1,5.80772603989
GUK1,5.80766600969
LOC100288911,5.80459487714
PRPSAP2,5.79857840991
LRRC27,5.79680356713
CAMKMT,5.79207567163
PAK3,5.78678784215
CHMP1A,5.78414597738
METRNL,5.78339337097
FGGY,5.78275547923
BCAP31,5.77799409726
ATP2C2,5.77545603635
STK17A,5.77511251538
PALM,5.76925508619
MT1E,5.7684488897
FDFT1,5.76665162144
KLHL1,5.76443126994
TRIL,5.76320657859
ELOVL2,5.76119750498
AZIN1-AS1,5.75881376475
FKBP1B,5.75880261025
PLBD1,5.75858835982
MTCH1,5.75844797408
FAT1,5.75683238251
SKP1,5.75198785279
PCDH20,5.75140243539
C20orf27,5.75083768713
TMBIM6,5.74898622763
ERFE,5.74761343324
TMSB4X,5.74663749568
TRPS1,5.74366855241
FDX1L,5.73930250349
COMT,5.73890160038
FAM213B,5.73775332058
PRKCG,5.73620432804
EYA1,5.73545148717
CASK,5.73490689704
PALD1,5.73193630016
PPP2R5A,5.72884866859
DEAF1,5.72722806124
CNTNAP3,5.72504877571
FGF2,5.72462519252
SYTL4,5.72097047267
SOD3,5.71642747864
STOML1,5.71478017937
LACTB,5.71301612757
PDIA3P1,5.7061123375
RRP7A,5.70141085784
EFNB1,5.69098516231
ECH1,5.68942756954
ARMCX1,5.68554043885
NFIA,5.68230880922
CIPC,5.68170425492
HNRNPC,5.67665093667
SLC26A11,5.67663209376
SNRPB2,5.67612464255
VMA21,5.675776985
HSDL2,5.67477452822
GPC6,5.67200748028
SMAD2,5.67107713176
CELF3,5.67071480867
PPP1R1C,5.66989624179
UBE2D2,5.66804011358
UBE2S,5.66768248952
PDLIM2,5.66641791976
HTR7,5.6662657978
MARCH8,5.66572495795
SAMD9L,5.66343804886
ARHGDIA,5.66260924525
KPNB1,5.65863775344
TMEM230,5.65515703713
ACSBG1,5.65468184345
MT1L,5.65353551834
RIPK2,5.65266104422
GS1-124K5.4,5.65145477939
TRIM36,5.64950078349
LOC101060091,5.64663716318
LNPK,5.6431402436
MRPL49,5.64074821864
MSN,5.6377701916
CALB1,5.63152004191
MSMO1,5.6287265711
CD24,5.62771365483
FBXL7,5.6274637094
VSX1,5.61972036958
TMEM130,5.61856841014
RHOC,5.61724302828
EFCAB1,5.61618796277
SCD,5.61440864273
ROM1,5.60963416531
CETN3,5.6087533531
CSRP1,5.60722510814
MYBPC2,5.60397387958
E2F3,5.6033990396
NFKBIE,5.60053780142
MT1B,5.59909498604
LPP,5.59831681873
PSAT1,5.59772351604
HAUS7,5.59580940506
ITGA6,5.59324834203
LOC100506100,5.58967210736
MDK,5.58944202301
SPINT2,5.58733390834
ADIRF,5.58437701395
C1orf54,5.58039377398
CD151,5.5756822961
GDF10,5.57358158214
RAB34,5.57206008149
KLRC1,5.56930845723
NOV,5.56473534419
C11orf97,5.56368580975
ORAI1,5.56017888789
DOK7,5.55891460969
ADGRG1,5.55823474699
MRPS25,5.55128623758
SPRY1,5.55101394763
ERICH6-AS1,5.55101146263
RSPH1,5.55030994757
KIAA1147,5.54797417691
TUBB,5.54775898554
NT5DC3,5.54764528335
SLC2A12,5.54733613025
ADORA2B,5.54489409124
ENAH,5.54415583726
F3,5.54263621899
DPCD,5.54123401578
FAM102A,5.54058830721
GRID2,5.54018319078
PGAP1,5.53851011383
LPAR6,5.53352054466
CDHR1,5.53148810403
UCHL1,5.53048563171
PCDH8,5.5265246481
ZNF219,5.52436013488
S100A6,5.52345123354
BDH2,5.51952277083
FRA10AC1,5.51514616161
ITGA7,5.51117848467
GLUD2,5.51056748628
DBX2,5.51031817758
CCR5,5.51011431569
MBOAT7,5.50902482697
NTNG2,5.50655961658
ADHFE1,5.50636572355
NEBL-AS1,5.50510262671
KCNMB2,5.50400697345
PTGES3,5.50329648114
CYSTM1,5.50309542347
GRIN2B,5.50274258182
MYL12B,5.49934066436
SOX2,5.49924598645
IFI27L2,5.4992333004
PIFO,5.49869431926
DPY30,5.49591783436
VSTM4,5.49496480836
MTSS1L,5.48575837497
FAM86EP,5.48518188684
SBF1,5.47919601588
PERM1,5.47906939969
SCOC,5.47783614699
EGLN1,5.47669399308
SLC40A1,5.46876347993
MARC2,5.46657624747
GCDH,5.46362378163
ATP6V1H,5.46260453114
OXER1,5.46154402276
SSPN,5.46115400403
KCNJ16,5.46042830893
TUBB2A,5.4602615484
LOC644794,5.46014285651
MT1G,5.45974675797
ADAMTS19,5.45833126683
SOX1,5.45751080868
C17orf67,5.45502048309
FABP5P3,5.4547008059
DNAH2,5.45275124948
EMP3,5.45268775494
